-12,-2791
-84,-642442
70,308977
-17,-7013
17,2955
45,77125
17,2950
51,114652
84,543648
40,52953
-51,-151061
-30,-33411
-8,-987
-83,-620348
-39,-70126
7,26
68,282335
-34,-47528
24,9891
-81,-577693
107,1145320
30,20825
40,52961
25,11358
-78,-517460
5,-24
-42,-86613
20,5281
33,28440
100,930392
84,543647
45,77128
-23,-15966
32,25735
-39,-70114
41,57310
88,627617
-95,-920935
-5,-330
89,649876
99,902089
85,563899
-40,-75363
-20,-10874
13,1063
73,352001
-81,-577693
57,162673
73,351999
74,367195
0,8
-89,-760767
-55,-187770
-8,-990
57,162686
103,1018872
-67,-332460
-29,-30389
-20,-10876
-71,-393487
-30,-33413
-43,-92628
-21,-12426
79,449662
34,31347
-27,-24895
-1,-17
90,672669
-59,-229986
-82,-598759
-34,-47533
-62,-265477
-81,-577694
-47,-119476
80,467517
-46,-112340
3,-19
81,485833
4,-30
45,77122
66,257270
-94,-892822
-39,-70127
35,34436
63,222522
-5,-316
88,627624
-1,-22
-10,-1748
-82,-598757
53,129416
-89,-760773
55,145425
-70,-377580
-47,-119478
-32,-40073
12,769
101,959305
-67,-332449
-51,-151061
-26,-22416
56,153892
-71,-393476
-31,-36641
-69,-362115
17,2953
-19,-9453
-102,-1134440
37,41210
-67,-332464
-102,-1134435
-38,-65133
-36,-55865
66,257267
-37,-60393
-10,-1735
-95,-920935
25,11348
51,114644
-10,-1733
95,794575
-65,-304461
10,338
17,2963
-53,-168743
75,382793
-83,-620342
49,101032
55,145429
59,181247
27,14692
-14,-4174
-22,-14128
-44,-98916
-51,-151067
3,-29
-73,-426609
12,768
-98,-1008816
44,71805
6,-7
50,107701
-99,-1039311
-68,-347068
0,-8
27,14685
83,523897
-92,-838311
52,121890
74,367196
-80,-557123
25,11347
94,769104
33,28436
71,322913
-50,-142704
-96,-949637
-9,-1342
-51,-151056
-87,-711840
-53,-168759
71,322903
34,31347
-83,-620345
-6,-497
95,794587
-37,-60389
59,181238
6,-14
75,382808
-49,-134651
-57,-208156
-82,-598755
39,48826
1,-2
4,-34
90,672668
-51,-151057
-64,-291080
21,6266
-42,-86601
43,66739
56,153894
53,129430
-23,-15957
-97,-978916
6,-20
13,1068
82,504634
98,874353
-19,-9472
-65,-304454
-9,-1326
43,66737
35,34444
-82,-598758
15,1857
-75,-461556
72,337255
80,467525
