76,1305606
-4,-243
-8,-1679
-86,-1923220
39,175035
10,2822
22,31036
-92,-2353273
-75,-1277091
-90,-2203460
-30,-82883
-91,-2277555
90,2171076
-82,-1667791
-21,-28726
-77,-1381681
-59,-623280
-76,-1328702
75,1254593
71,1063861
-8,-1695
2,31
-73,-1177933
-26,-54152
-54,-478383
-11,-4277
19,19918
-82,-1667790
-62,-722851
30,79289
-91,-2277539
88,2029184
71,1063859
52,416565
-38,-167608
-37,-154813
-10,-3228
-78,-1436062
78,1411731
-71,-1084034
70,1019410
11,3781
36,137492
-24,-42689
27,57681
48,327317
43,234954
-48,-336525
13,6287
-59,-623271
61,673681
-69,-995258
36,137485
-57,-562243
70,1019402
28,64369
104,3353264
-7,-1138
-82,-1667802
15,9719
58,578791
58,578782
91,2244418
90,2171066
-92,-2353259
-52,-427381
38,161834
107,3652555
-97,-2757128
-101,-3111600
-80,-1549031
60,640972
58,578773
-41,-210241
-61,-688573
42,218859
-63,-758261
85,1828181
-84,-1792481
57,549251
82,1640911
14,7892
96,2636057
22,31039
13,6302
-21,-28719
-66,-871392
43,234945
24,40388
44,251817
50,370159
-47,-316028
2,17
82,1640910
-46,-296369
-23,-37623
107,3652554
-72,-1130324
40,188912
-9,-2377
-3,-112
41,203516
-75,-1277092
0,2
-32,-100438
-25,-48207
13,6290
-91,-2277541
-19,-21363
-48,-336520
76,1305604
-54,-478381
65,815623
54,466718
23,35511
-42,-225913
-32,-100438
-6,-729
48,327308
-1,-7
-75,-1277095
6,600
-96,-2672926
84,1764259
24,40388
83,1701834
13,6299
-102,-3204742
42,218872
2,26
35,126275
94,2474371
-86,-1923225
34,115712
-44,-259554
-30,-82894
-3,-100
5,345
-86,-1923216
77,1357968
75,1254602
64,778425
-3,-108
4,168
92,2319416
-84,-1792468
30,79294
-24,-42700
43,234962
42,218856
-38,-167608
89,2099341
-20,-24865
-18,-18190
-64,-794824
-39,-181124
-32,-100446
-102,-3204731
38,161847
13,6302
23,35504
-69,-995255
66,853982
-7,-1147
-61,-688570
62,707488
8,1440
19,19918
-40,-195318
-97,-2757136
-35,-131171
88,2029184
-68,-952741
27,57682
76,1305598
-5,-448
-23,-37632
-57,-562251
29,71579
-50,-380146
-14,-8665
61,673681
-27,-60596
-11,-4261
87,1960636
40,188912
-40,-195310
87,1960624
-93,-2430638
-49,-357903
62,707484
86,1893638
-67,-911467
59,609357
-46,-296378
-21,-28728
-89,-2131016
85,1828174
-49,-357894
-45,-277552
